code,scientific_name,authority,common_name,sp_type,sg,shade,widest,up_exp,lo_exp,shape,mcw_a1,mcw_a2,lcw_b1,lcw_b2,source_crown
AB,Fagus grandifolia,Ehrh.,American beech,HW,0.64,4.75,0.8,3,6,e,2.93,0.434,1.00,0.194,species
AE,Ulmus americana,L.,American elm,HW,0.50,3.14,0.5,3,5,e,4.04,0.308,2.65,0.157,species
AS,Fraxinus spp.,L.,ash,HW,0.57,2.84,0.6,3,4,e,4.04,0.308,2.65,0.157,type_default
BA,Fraxinus nigra,Marshall,black ash,HW,0.50,2.96,0.6,3,3,e,4.04,0.308,2.65,0.157,species
BC,Prunus serotina,Ehrh.,black cherry,HW,0.50,2.46,0.9,3,3,e,4.04,0.308,2.65,0.157,species
BF,Abies balsamea,(L.) Mill.,balsam fir,SW,0.35,5.01,0.9,1,5,p,1.37,0.572,1.49,0.105,species
BK,Robinia pseudoacacia,L.,black locust,HW,0.66,1.72,0.5,3,3,e,4.04,0.308,2.65,0.157,species
BP,Populus balsamifera,L.,balsam poplar,HW,0.34,1.27,0.6,3,4,e,1.31,0.586,2.65,0.157,type_default
BS,Picea mariana,(Mill.) Britton Sterns & Poggenb.,black spruce,SW,0.46,4.08,0.8,3,3,g,0.535,0.742,1.00,0.174,species
BT,Populus grandidentata,Michx.,bigtooth aspen,HW,0.39,1.21,0.6,2,5,g,1.31,0.586,2.65,0.157,species
BW,Tilia americana,L.,American basswood,HW,0.32,3.98,0.6,3,3,e,4.04,0.308,2.65,0.157,species
EC,Populus deltoides,W.Bartram ex Marshall,eastern cottonwood,HW,0.40,1.76,0.6,3,4,e,1.31,0.586,2.65,0.157,type_default
EH,Tsuga canadensis,(L.) Carriere,eastern hemlock,SW,0.40,4.83,0.8,3,4,g,2.44,0.408,1.90,-0.057,species
GA,Fraxinus pennsylvanica,Marshall,green ash,HW,0.56,3.11,0.6,3,4,e,4.04,0.308,2.65,0.157,type_default
GB,Betula populifolia,Marshall,gray birch,HW,0.48,1.50,0.6,3,4,e,2.24,0.382,3.10,-0.214,type_default
HH,Ostrya virginiana,(Mill.) K.Koch,eastern hophornbeam,HW,0.78,4.58,0.6,3,4,e,4.04,0.308,2.65,0.157,type_default
HI,Carya spp.,Nutt.,hickory,HW,0.66,3.00,0.6,3,3,g,4.04,0.308,2.65,0.157,species
JP,Pinus banksiana,Lamb.,jack pine,SW,0.43,1.36,0.5,3,3,g,1.597128571,0.513957143,2.3276,0.027842857,species
NC,Thuja occidentalis,L.,northern white cedar,SW,0.31,3.45,0.5,3,3,g,1.63,0.436,2.19,-0.080,species
NS,Picea abies,(L.) H.Karst.,Norway spruce,SW,0.43,4.45,0.8,3,3,g,1.80,0.461,4.33,-0.264,species
OH,NA,NA,other hardwoods,HW,0.5121,2.29,0.6,3,4,e,4.04,0.308,2.65,0.157,type_default
OS,NA,NA,other softwoods,SW,0.445,2.27,0.8,3,3,g,1.597128571,0.513957143,2.3276,0.027842857,type_default
PB,Betula papyrifera,Marshall,paper birch,HW,0.55,1.54,0.4,5,2,p,1.48,0.623,2.10,-0.035,species
PC,Prunus pensylvanica,L.f.,pin cherry,HW,0.38,2.26,0.6,3,4,e,4.04,0.308,2.65,0.157,type_default
PR,Prunus pensylvanica,L.f.,pin cherry,HW,0.38,2.26,0.6,3,4,e,4.04,0.308,2.65,0.157,type_default
